id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21195544,Modern and central flat in Limoilou,14515609,Eddy,,Vieux-Limoilou,46.82399,-71.22344,Entire home/apt,100,2,4,2018-02-11,0.25,2,0
21223838,Location de vacance 2,44697594,Raoufou,,Vieux-Moulin,46.84992,-71.22628,Private room,50,1,36,2019-02-17,2.11,5,364
21227345,Your home Downtown Quebec City!,153389033,Jean-Philippe,,Saint-Jean-Baptiste,46.81275,-71.21992,Entire home/apt,111,2,87,2019-02-18,5.08,1,80
21228600,Large home for 14 guests in the heart of Quebec,122580956,Philippe,,Sillery,46.78562,-71.25647,Entire home/apt,500,1,82,2019-03-03,5.04,1,317
21237337,Peaceful neighborhood at 15 minutes from Quebec,75303225,Pascale Et Jonathan,,Quartier 4-3,46.88695,-71.26654,Entire home/apt,75,1,71,2018-10-26,4.81,1,0
21238668,Location de vacance 1,44697594,Raoufou,,Vieux-Moulin,46.84944,-71.22482,Private room,50,1,40,2019-02-17,2.32,5,365
21239249,Location de vacance 3,44697594,Raoufou,,Vieux-Moulin,46.84827,-71.22638,Private room,50,1,82,2019-03-06,4.79,5,362
21244284,Apartment Bardy,36623206,Moussa,,Maizerets,46.84612,-71.22984,Entire home/apt,165,2,7,2019-01-01,0.41,4,352
21250325,"Chambre dans Limoilou, près du centre ville!",137910067,Helene,,Lairet,46.83647,-71.25659,Private room,25,1,4,2017-10-11,0.23,1,0
21261520,Maison de Ville à Charlesbourg,153759518,Gilles,,Jésuites,46.86789,-71.25204,Entire home/apt,175,2,0,,,1,89
21264192,4km from Old Quebec and FREE PARKING,127596505,Valéry,,Maizerets,46.8375,-71.21478,Entire home/apt,66,1,151,2019-03-04,9.06,2,72
21264944,Chambre cosy au coeur de Limoilou,47383217,Marion,,Vieux-Limoilou,46.82172,-71.22635,Private room,36,2,0,,,1,0
21266904,Location de vacance 4,44697594,Raoufou,,Vieux-Moulin,46.84935,-71.22712,Private room,50,1,27,2019-02-19,1.59,5,364
21272666,LA CASA,153875265,Éric,,Neufchâtel-Est/Lebourgneuf,46.82707,-71.3227,Private room,75,2,9,2019-02-17,1.34,1,365
21310019,Appartement complet style «Chalet urbain Canadien»,146017985,Stephan,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.805,-71.20744,Entire home/apt,46,1,150,2019-02-16,9.91,1,71
21312319,Great location! Studio with balcony in Quebec City,50328682,Annie-Claude,,Montcalm,46.80014,-71.22728,Entire home/apt,90,2,56,2019-02-13,3.35,2,34
21332232,Logement complet Loretteville Québec,106720246,Steeve,,Des Châtels,46.84975,-71.37507,Entire home/apt,71,3,22,2019-01-08,1.50,1,337
21351219,Appartement dans le quartier St-Roch,60826980,Noémie,,Saint-Roch,46.81238,-71.22983,Entire home/apt,75,2,7,2019-01-13,0.64,1,0
21365898,Idéale pour famille!,88802219,Remy,,Cap-Rouge,46.77546,-71.33311,Entire home/apt,175,2,16,2019-01-02,1.10,1,0
21368337,Private room downtown Quebec city!,8461053,Judith,,Saint-Jean-Baptiste,46.81092,-71.22294,Private room,35,2,33,2019-02-04,2.49,1,91
21369014,5 BR HOUSE with lots of free parking,151585105,Steven,,Plateau,46.77627,-71.30707,Entire home/apt,305,2,3,2018-10-12,0.18,1,177
21383897,Spacieux appartement chaleureux,53060535,Marilyne,,Saint-Roch,46.81204,-71.22366,Entire home/apt,159,1,12,2018-05-10,0.83,1,0
21384027,L'Appartement du Vieux-Québec,53848139,Martin,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8119,-71.2061,Entire home/apt,99,3,7,2019-01-02,0.42,1,145
21393862,Le logis du Jérôme** CENTRE-VILLE de QC**,682111,Christian,,Saint-Roch,46.81247,-71.22929,Entire home/apt,60,30,0,,,4,265
